Rank,Username,Tiktok Link,Name,Subscribers Count,Views. Avg,Likes. Avg,Comments. Avg,Shares. Avg
115,oldtimehawkey,https://www.tiktok.com/@oldtimehawkey,Old Time Hawkey,5.9M,3.9M,590.2K,5.9K,4.6K
116,parker_loves_arda,https://www.tiktok.com/@parker_loves_arda,Parker_hazel,50K,3.4M,428.4K,3.8K,12.3K
117,maiaknight,https://www.tiktok.com/@maiaknight,Maia Knight,8.7M,6.5M,1.1M,2.1K,1.1K
118,wuesilva,https://www.tiktok.com/@wuesilva,Wue Silva,12.6M,4.5M,758.9K,2.9K,3.8K
119,gambi,https://www.tiktok.com/@gambi,Gambi,768.4K,4M,677.2K,5.3K,3K
120,gingerbilly1,https://www.tiktok.com/@gingerbilly1,GingerBilly1,6M,2.4M,264.5K,4.5K,30.3K
121,thallyssonsb,https://www.tiktok.com/@thallyssonsb,Thallysson Borges,9.8M,3.2M,488.2K,6K,8.3K
122,leyla.tavas,https://www.tiktok.com/@leyla.tavas,leyla ♡,793.6K,3.1M,730.3K,4.4K,5.1K
123,ive.official,https://www.tiktok.com/@ive.official,IVE.official,2.5M,2.8M,566.8K,9.7K,4K
124,trevorwallace,https://www.tiktok.com/@trevorwallace,trevor wallace,8.1M,3.4M,546.9K,1.6K,9.9K
125,ramonvitor,https://www.tiktok.com/@ramonvitor,ramonvitor,4.8M,4.4M,938.4K,3.8K,1.4K
126,mementoe,https://www.tiktok.com/@mementoe,Máté Méhész,3.6M,3.4M,588.5K,4.4K,5.8K
127,fanniraz,https://www.tiktok.com/@fanniraz,Fanny Ismiraz,1.4M,6.2M,540.1K,3.7K,2.4K
128,parkerlocke,https://www.tiktok.com/@parkerlocke,Parker Locke,6.4M,2.9M,658.2K,5K,5.5K
129,sa_ro01,https://www.tiktok.com/@sa_ro01,sara,5.8M,4.9M,385.9K,8.2K,2.3K
130,investigador.forense,https://www.tiktok.com/@investigador.forense,Investigador Forense,5.4M,7.9M,457.5K,2.3K,3.1K
131,ostrichplug,https://www.tiktok.com/@ostrichplug,Urban Rescue Ranch,3.8M,2.4M,466K,8.4K,8.9K
132,sxmplyni,https://www.tiktok.com/@sxmplyni,Simply Ni,2.5M,4.8M,629K,2.4K,4.1K
133,awildani13,https://www.tiktok.com/@awildani13,NgebisOnline,77.2K,3.7M,498.4K,5.9K,4.4K
134,joshdub,https://www.tiktok.com/@joshdub,Joshdub,10.3M,2.4M,373.6K,16.1K,5.5K
135,paansih16,https://www.tiktok.com/@paansih16,gustian_magrib,1.1M,2.9M,230.5K,1.2K,27.7K
136,initiaraandini,https://www.tiktok.com/@initiaraandini,tiara andini,4.9M,7.3M,615.4K,2.9K,1.3K
137,mdmotivator,https://www.tiktok.com/@mdmotivator,Zachery Dereniowski,9.7M,4.3M,753.4K,3.9K,1.9K
138,elrodcontreras,https://www.tiktok.com/@elrodcontreras,ROD🫠,41.4M,4.6M,637.1K,5.6K,831
139,therock,https://www.tiktok.com/@therock,The Rock,53.2M,3.6M,545.6K,7K,2.4K
140,xx_no_name_xx8,https://www.tiktok.com/@xx_no_name_xx8,xx_no_name_xx8,498.5K,2.3M,306.8K,24.6K,1.6K
141,kallmekris,https://www.tiktok.com/@kallmekris,Kris HC,44.7M,4.2M,675.8K,5.3K,1.2K
142,kyliejenner,https://www.tiktok.com/@kyliejenner,Kylie Jenner,41.5M,5.5M,725.5K,3.3K,1.3K
143,jaxwritessongs,https://www.tiktok.com/@jaxwritessongs,Jax,9.9M,3.7M,564.9K,4.8K,3.9K
144,williesalim,https://www.tiktok.com/@williesalim,WILLIE SALIM,13.7M,6.1M,397.5K,5.7K,1.7K
145,jake2curly,https://www.tiktok.com/@jake2curly,Jake,325.3K,3.2M,597.4K,1.6K,7.7K
146,talalionaire,https://www.tiktok.com/@talalionaire,طلاليونير,712.7K,4.7M,377.7K,5K,4.9K
147,garett__nolan,https://www.tiktok.com/@garett__nolan,garett nolan,13.4M,4.2M,337.1K,2.4K,10K
148,frankielapenna,https://www.tiktok.com/@frankielapenna,Frankie LaPenna,3.6M,6.8M,287.4K,1.7K,7.1K
149,theandrewschulz,https://www.tiktok.com/@theandrewschulz,Andrew Schulz,3.5M,3M,524.8K,1.2K,9.9K
150,cedriklorenzen,https://www.tiktok.com/@cedriklorenzen,Cedrik Lorenzen,2.6M,3.3M,310.4K,4.8K,12K
151,official_nct,https://www.tiktok.com/@official_nct,NCT Official,8.5M,2.3M,582K,8.3K,4.5K
