Year,Month,YearMonth,   CO2(ppm)
1991,9,1991.7068,351.95
1991,10,1991.789,352.02
1991,11,1991.874,353.55
1991,12,1991.9562,354.79
1992,1,1992.041,355.79
1992,2,1992.1257,356.52
1992,3,1992.2049,357.61
1992,4,1992.2896,358.95
1992,5,1992.3716,359.46
1992,6,1992.4563,359.05
1992,7,1992.5383,356.82
1992,8,1992.623,354.8
1992,9,1992.7077,352.81
1992,10,1992.7896,353.11
1992,11,1992.8743,353.96
1992,12,1992.9563,355.2
1993,1,1993.0411,356.5
1993,2,1993.126,356.97
1993,3,1993.2027,358.18
1993,4,1993.2877,359.26
1993,5,1993.3699,360.08
1993,6,1993.4548,359.4
1993,7,1993.537,357.38
1993,8,1993.6219,355.33
1993,9,1993.7068,353.5
1993,10,1993.789,353.8
1993,11,1993.874,355.15
1993,12,1993.9562,356.62
1994,1,1994.0411,358.19
1994,2,1994.126,358.73
1994,3,1994.2027,359.79
1994,4,1994.2877,361.09
1994,5,1994.3699,361.51
1994,6,1994.4548,360.78
1994,7,1994.537,359.38
1994,8,1994.6219,357.31
1994,9,1994.7068,355.68
1994,10,1994.789,355.83
1994,11,1994.874,357.42
1994,12,1994.9562,358.87
1995,1,1995.0411,359.81
1995,2,1995.126,360.84
1995,3,1995.2027,361.48
1995,4,1995.2877,363.3
1995,5,1995.3699,363.64
1995,6,1995.4548,363.11
1995,7,1995.537,361.75
1995,8,1995.6219,359.31
1995,9,1995.7068,357.91
1995,10,1995.789,357.62
1995,11,1995.874,359.42
1995,12,1995.9562,360.56
1996,1,1996.041,361.91
1996,2,1996.1257,363.11
1996,3,1996.2049,363.89
1996,4,1996.2896,364.58
1996,5,1996.3716,365.29
1996,6,1996.4563,364.84
1996,7,1996.5383,363.52
1996,8,1996.623,361.35
1996,9,1996.7077,359.32
1996,10,1996.7896,359.48
1996,11,1996.8743,360.64
1996,12,1996.9563,362.21
1997,1,1997.0411,363.06
1997,2,1997.126,363.87
1997,3,1997.2027,364.44
1997,4,1997.2877,366.23
1997,5,1997.3699,366.68
1997,6,1997.4548,365.52
1997,7,1997.537,364.36
1997,8,1997.6219,362.39
1997,9,1997.7068,360.08
1997,10,1997.789,360.67
1997,11,1997.874,362.32
1997,12,1997.9562,364.17
1998,1,1998.0411,365.22
1998,2,1998.126,366.04
1998,3,1998.2027,367.2
1998,4,1998.2877,368.5
1998,5,1998.3699,369.19
1998,6,1998.4548,368.77
1998,7,1998.537,367.53
1998,8,1998.6219,365.67
1998,9,1998.7068,363.8
1998,10,1998.789,364.13
1998,11,1998.874,365.36
1998,12,1998.9562,366.87
1999,1,1999.0411,368.05
1999,2,1999.126,368.77
1999,3,1999.2027,369.49
1999,4,1999.2877,371.04
1999,5,1999.3699,370.9
1999,6,1999.4548,370.25
1999,7,1999.537,369.17
1999,8,1999.6219,366.83
1999,9,1999.7068,364.54
1999,10,1999.789,365.04
1999,11,1999.874,366.58
1999,12,1999.9562,367.92
2000,1,2000.041,369.05
2000,2,2000.1257,369.37
2000,3,2000.2049,370.42
2000,4,2000.2896,371.57
2000,5,2000.3716,371.74
2000,6,2000.4563,371.6
2000,7,2000.5383,370.02
2000,8,2000.623,368.03
2000,9,2000.7077,366.53
2000,10,2000.7896,366.64
2000,11,2000.8743,368.2
2000,12,2000.9563,369.44
2001,1,2001.0411,370.2
2001,2,2001.126,371.42
2001,3,2001.2027,372.04
2001,4,2001.2877,372.78
2001,5,2001.3699,373.94
2001,6,2001.4548,373.23
2001,7,2001.537,371.54
2001,8,2001.6219,369.47
2001,9,2001.7068,367.88
2001,10,2001.789,368.02
2001,11,2001.874,369.6
2001,12,2001.9562,371.16
2002,1,2002.0411,372.36
2002,2,2002.126,373
2002,3,2002.2027,373.44
2002,4,2002.2877,374.77
2002,5,2002.3699,375.48
2002,6,2002.4548,375.33
2002,7,2002.537,373.95
2002,8,2002.6219,371.41
2002,9,2002.7068,370.63
2002,10,2002.789,370.18
2002,11,2002.874,372.01
2002,12,2002.9562,373.71
2003,1,2003.0411,374.61
2003,2,2003.126,375.55
2003,3,2003.2027,376.04
2003,4,2003.2877,377.58
2003,5,2003.3699,378.28
2003,6,2003.4548,378.07
2003,7,2003.537,376.54
2003,8,2003.6219,374.42
2003,9,2003.7068,372.92
2003,10,2003.789,372.94
2003,11,2003.874,374.29
2003,12,2003.9562,375.63
2004,1,2004.041,376.73
2004,2,2004.1257,377.31
2004,3,2004.2049,378.33
2004,4,2004.2896,380.44
2004,5,2004.3716,380.56
2004,6,2004.4563,379.49
2004,7,2004.5383,377.71
2004,8,2004.623,375.77
2004,9,2004.7077,373.99
2004,10,2004.7896,374.17
2004,11,2004.8743,375.79
2004,12,2004.9563,377.39
2005,1,2005.0411,378.29
2005,2,2005.126,379.56
2005,3,2005.2027,380.07
2005,4,2005.2877,382.01
2005,5,2005.3699,382.21
2005,6,2005.4548,382.05
2005,7,2005.537,380.63
2005,8,2005.6219,378.64
2005,9,2005.7068,376.38
2005,10,2005.789,376.77
2005,11,2005.874,378.27
2005,12,2005.9562,379.92
2006,1,2006.0411,381.33
2006,2,2006.126,381.98
2006,3,2006.2027,382.53
2006,4,2006.2877,384.33
2006,5,2006.3699,384.89
2006,6,2006.4548,384
2006,7,2006.537,382.25
2006,8,2006.6219,380.44
2006,9,2006.7068,378.77
2006,10,2006.789,379.03
2006,11,2006.874,380.11
2006,12,2006.9562,381.63
2007,1,2007.0411,382.55
2007,2,2007.126,383.68
2007,3,2007.2027,384.31
2007,4,2007.2877,386.2
2007,5,2007.3699,386.38
2007,6,2007.4548,385.85
2007,7,2007.537,384.42
2007,8,2007.6219,381.81
2007,9,2007.7068,380.83
2007,10,2007.789,380.83
2007,11,2007.874,382.32
2007,12,2007.9562,383.58
2008,1,2008.041,385.04
2008,2,2008.1257,385.81
2008,3,2008.2049,385.8
2008,4,2008.2896,386.74
2008,5,2008.3716,388.48
2008,6,2008.4563,388.02
2008,7,2008.5383,386.22
2008,8,2008.623,384.05
2008,9,2008.7077,383.05
2008,10,2008.7896,382.75
2008,11,2008.8743,383.98
2008,12,2008.9563,385.08
2009,1,2009.0411,386.63
2009,2,2009.126,387.1
2009,3,2009.2027,388.5
2009,4,2009.2877,389.54
2009,5,2009.3699,390.15
2009,6,2009.4548,389.6
2009,7,2009.537,388.05
2009,8,2009.6219,386.06
2009,9,2009.7068,384.64
2009,10,2009.789,384.32
2009,11,2009.874,386.05
2009,12,2009.9562,387.48
2010,1,2010.0411,388.55
2010,2,2010.126,390.08
2010,3,2010.2027,391.02
2010,4,2010.2877,392.39
2010,5,2010.3699,393.24
2010,6,2010.4548,392.26
2010,7,2010.537,390.35
2010,8,2010.6219,388.53
2010,9,2010.7068,386.85
2010,10,2010.789,387.18
2010,11,2010.874,388.69
2010,12,2010.9562,389.83
2011,1,2011.0411,391.33
2011,2,2011.126,391.96
2011,3,2011.2027,392.49
2011,4,2011.2877,393.4
2011,5,2011.3699,394.33
2011,6,2011.4548,393.75
2011,7,2011.537,392.64
2011,8,2011.6219,390.25
2011,9,2011.7068,389.05
2011,10,2011.789,388.98
2011,11,2011.874,390.3
2011,12,2011.9562,391.86
2012,1,2012.041,393.13
2012,2,2012.1257,393.42
2012,3,2012.2049,394.43
2012,4,2012.2896,396.51
2012,5,2012.3716,396.96
2012,6,2012.4563,395.97
2012,7,2012.5383,394.6
2012,8,2012.623,392.61
2012,9,2012.7077,391.2
2012,10,2012.7896,391.09
2012,11,2012.8743,393.03
2012,12,2012.9563,394.42
2013,1,2013.0411,395.69
2013,2,2013.126,396.94
2013,3,2013.2027,397.35
2013,4,2013.2877,398.44
2013,5,2013.3699,400.06
2013,6,2013.4548,398.96
2013,7,2013.537,397.45
2013,8,2013.6219,395.49
2013,9,2013.7068,393.47
2013,10,2013.789,393.77
2013,11,2013.874,395.27
2013,12,2013.9562,396.9
2014,1,2014.0411,398.01
2014,2,2014.126,398.18
2014,3,2014.2027,399.56
2014,4,2014.2877,401.44
2014,5,2014.3699,401.98
2014,6,2014.4548,401.41
2014,7,2014.537,399.17
2014,8,2014.6219,397.3
2014,9,2014.7068,395.49
2014,10,2014.789,395.74
2014,11,2014.874,397.32
2014,12,2014.9562,398.88
2015,1,2015.0411,399.94
2015,2,2015.126,400.4
2015,3,2015.2027,401.6
2015,4,2015.2877,403.52
2015,5,2015.3699,404.03
2015,6,2015.4548,402.81
2015,7,2015.537,401.54
2015,8,2015.6219,398.93
2015,9,2015.7068,397.43
2015,10,2015.789,398.22
2015,11,2015.874,400.17
2015,12,2015.9562,401.82
2016,1,2016.041,402.58
2016,2,2016.1257,404.09
2016,3,2016.2049,404.79
2016,4,2016.2896,407.5
2016,5,2016.3716,407.59
2016,6,2016.4563,406.94
2016,7,2016.5383,404.43
2016,8,2016.623,402.17
2016,9,2016.7077,400.95
2016,10,2016.7896,401.43
2016,11,2016.8743,403.57
2016,12,2016.9563,404.48
2017,1,2017.0411,406
2017,2,2017.126,406.57
2017,3,2017.2027,406.99
2017,4,2017.2877,408.88
2017,5,2017.3699,409.84
2017,6,2017.4548,409.05
2017,7,2017.537,407.13
2017,8,2017.6219,405.17
2017,9,2017.7068,403.2
2017,10,2017.789,403.57
2017,11,2017.874,405.1
2017,12,2017.9562,406.68
2018,1,2018.0411,407.98
2018,2,2018.126,408.36
2018,3,2018.2027,409.21
2018,4,2018.2877,410.24
2018,5,2018.3699,411.23
2018,6,2018.4548,410.81
2018,7,2018.537,408.83
2018,8,2018.6219,407.02
2018,9,2018.7068,405.53
2018,10,2018.789,405.93
2018,11,2018.874,408.04
2018,12,2018.9562,409.17
2019,1,2019.0411,410.85
2019,2,2019.126,411.59
2019,3,2019.2027,411.91
2019,4,2019.2877,413.46
2019,5,2019.3699,414.76
2019,6,2019.4548,413.89
2019,7,2019.537,411.78
2019,8,2019.6219,410.01
2019,9,2019.7068,408.48
2019,10,2019.789,408.4
2019,11,2019.874,410.16
2019,12,2019.9562,411.81
2020,1,2020.041,413.3
2020,2,2020.1257,414.05
2020,3,2020.2049,414.45
2020,4,2020.2896,416.11
2020,5,2020.3716,417.15
2020,6,2020.4563,416.29
2020,7,2020.5383,414.42
2020,8,2020.623,412.52
2020,9,2020.7077,411.18
2020,10,2020.7896,411.12
2020,11,2020.8743,412.88
2020,12,2020.9563,413.89
2021,1,2021.0411,415.15
2021,2,2021.126,416.47
2021,3,2021.2027,417.16
2021,4,2021.2877,418.24
2021,5,2021.3699,418.95
2021,6,2021.4548,418.7
2021,7,2021.537,416.65
2021,8,2021.6219,414.34
2021,9,2021.7068,412.91
2021,10,2021.789,413.55
2021,11,2021.874,414.82
2021,12,2021.9562,416.43
2022,1,2022.0411,418.01
2022,2,2022.126,418.99
2022,3,2022.2027,418.45
2022,4,2022.2877,420.02
2022,5,2022.3699,420.77
2022,6,2022.4548,420.68
2022,7,2022.537,418.68
2022,8,2022.6219,416.76
2022,9,2022.7068,415.41
2022,10,2022.789,415.31
2022,11,2022.874,-99.99
2022,12,2022.9562,-99.99
